"golden_id","tweet_id","conversation_id","customer_message","normalized_message","candidate_intent","source_cluster","conversation_context","annotation_label","annotation_status","annotator","notes"
"gold_001","1141068","conv_AppleSupport_1141068","@AppleSupport Just updated to latest #ios11. Autocorrect always suggests ""minuet"" when I want ""minute"". Trying to push baroque dances on us?","<USER> Just updated to latest #ios11. Autocorrect always suggests ""minuet"" when I want ""minute"". Trying to push baroque dances on us?","software_update_problem",3,"@388594 Here's a useful technique to prevent the Auto-Correction of words. Check out Text Replacements here: https://t.co/U5VKSTl2CD","","pending","",""
"gold_002","704558","conv_AppleSupport_704558","This update is ruining my life!! @115858","This update is ruining my life!! <USER>","software_update_problem",6,"@288369 We are here to help. Please send us a DM with details about what's going on. https://t.co/GDrqU22YpT","","pending","",""
"gold_003","1671828","conv_AppleSupport_1671828","@AppleSupport it works on my phone but not my MacBook","<USER> it works on my phone but not my MacBook","mac_software_issue",5,"@508839 Let's take a closer look in DM. What is the exact error message you're receiving? https://t.co/GDrqU22YpT","","pending","",""
"gold_004","2545615","conv_AppleSupport_2545615","@AppleSupport my phone slow as hell after this update cmon now 🤦🏻‍♂️ lagging like it’s a iPhone 3","<USER> my phone slow as hell after this update cmon now 🤦🏻‍♂️ lagging like it’s a iPhone 3","software_update_problem",6,"@723549 Let's take a look at this together. Is it an app that's slow or does it seem to be the entire iPhone? If you restart, does that help for a time? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT","","pending","",""
"gold_005","2309580","conv_AppleSupport_2309580","@115858 can you explain why the system still records my location when the switch is off, and never shows purple even if icon on screen !!! https://t.co/yWIEtfYens","<USER> can you explain why the system still records my location when the switch is off, and never shows purple even if icon on screen !!! <URL>","display_touch_issue",5,"@162026 We're here to help. So we can look into this with you can you please message us in DM? https://t.co/GDrqU22YpT","","pending","",""
"gold_006","2709966","conv_AppleSupport_2709966","@AppleSupport I can't sync my new iPhone to my new Mbook w my new user ID cuz you want me to log into my ex from 6 yrs ago iTunes? Explain","<USER> I can't sync my new iPhone to my new Mbook w my new user ID cuz you want me to log into my ex from 6 yrs ago iTunes? Explain","general_device_support",4,"@760958 We'd like to look into this with you. DM us and we'll get started and sort things out with you. https://t.co/GDrqU22YpT","","pending","",""
"gold_007","2020181","conv_AppleSupport_2020181","@115858 @AppleSupport ever since I️ had that update to iOS11.1 my phone keeps lagging.","<USER> <USER> ever since I️ had that update to iOS11.1 my phone keeps lagging.","software_update_problem",3,"@597409 We're here to help. Please DM your device model, country, and iOS version. We'll pick up there with your support options. https://t.co/GDrqU22YpT","","pending","",""
"gold_008","1642517","conv_AppleSupport_1642517","Hey @115858 - I’m sick of seeing I️ when I️ type I️ by itself. Fix it.","Hey <USER> - I’m sick of seeing I️ when I️ type I️ by itself. Fix it.","keyboard_typing_issue",0,"@502058 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9","","pending","",""
"gold_009","1993383","conv_AppleSupport_1993383","Looks like Apple fucked up their iOS screen recording for iOS 11.2 beta. Why do you hate me Apple! https://t.co/TBkZeaLiom","Looks like Apple fucked up their iOS screen recording for iOS 11.2 beta. Why do you hate me Apple! <URL>","software_update_problem",3,"@589930 Meet up with us in DM so we can provide you some guidance. Let us know if you're using Public beta or have a Developer account. https://t.co/GDrqU22YpT","","pending","",""
"gold_010","2896155","conv_AppleSupport_2896155","@AppleSupport Have a 2009 MacBook. When I turn on I get the flashing folder w/ ?  Holding down command + R when I boot but it won’t boot to recovery mode. Ideas?","<USER> Have a 2009 MacBook. When I turn on I get the flashing folder w/ ? Holding down command + R when I boot but it won’t boot to recovery mode. Ideas?","mac_software_issue",5,"@802526 A flashing question mark means the Mac can't find it's system software. We'll do all we can to help. To begin, we'll want to get into macOS Recovery. Are we following all of the steps listed under ""How to use macOS Recovery"" here: https://t.co/3mWPPC8cdZ","","pending","",""
