golden_id,tweet_id,customer_message,conversation_context,baseline_ai_prediction,baseline_ai_confidence,baseline_reasoning,human_ground_truth,agreement_status,priority,risk_flags
gold_180,2079653,.@115858 battery and velocity of my iPhone 6 really sucks / batería y velocidad de mi iPhone 6 con el iOS 11 realmente apestan #iOS11 #fail,"@615063 We'd be happy to take a look!  To begin, DM us which iOS version you're currently on and we'll go from there: https://t.co/GDrqU22YpT",battery_power_issue,0.9,"Customer reports rapid battery drain and poor performance (velocity) of their iPhone 6, specifically with iOS 11, indicating a battery power issue.",battery_power_issue,AGREE,high,true_language_uncertainty
gold_026,2286436,"@115858 for the love of #280characters would you please fix this I️ crap!  It’s annoying AF! Also apps are loading wrong on 6splus, because of X screen size.",@541189 We'll be happy to look into this for you. What iOS version is currently installed on your device?,general_device_support,0.8,"The user reports apps loading incorrectly due to screen size on an iPhone 6s Plus, a specific UI issue not covered by the other defined intents, so it falls under general device support.",display_touch_issue,DISAGREE,high,borderline_confidence; intent_divergence
gold_027,894857,"@AppleSupport since updating to high sierra I'm seeing lots of notifications from Time Machine, which I don't use. How do I turn off?",@328357 Thanks for reaching out to us. We are always happy to help. This article should help you here: https://t.co/colSnLidmp,general_device_support,0.85,"User is asking how to disable Time Machine notifications on macOS after a High Sierra update, which is a how‑to configuration question rather than a failure, fitting the general_device_support intent.",mac_software_issue,DISAGREE,high,intent_divergence
gold_040,695319,"Dear @115858 
Please fix all your fucking issues with iOS 11. I’m sick and tired of all these bugs. 🙃","@285834 Reach out to us via DM and let us know what you've been experiencing, as well as the type of iPhone you have, then we can work together to get this resolved. https://t.co/GDrqU22YpT",general_device_support,0.8,"The user is expressing frustration with general bugs in iOS 11 without specifying a particular failure or crash, fitting a general device support inquiry.",software_update_problem,DISAGREE,high,borderline_confidence; intent_divergence
gold_046,1977499,@115858 @AppleSupport the music app is not producing sound. The other apps produce sound. Can play music but no sound comes out. Help. Thx.,"@585588 We know your music is important, and want to get this working for you. DM us with details about when this started happening. https://t.co/GDrqU22YpT",display_touch_issue,0.8,"Customer reports music app not producing sound, while other apps work, suggesting a possible hardware or display issue.",hardware_audio_connection_issue,DISAGREE,high,borderline_confidence; intent_divergence
gold_048,1001134,@115858 if my screen say poor connection does that mean my wifi is messed up or theres? cause i tired of having this argument erry night 😭💯,@357012 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,general_device_support,0.8,"Customer is seeking general troubleshooting advice and clarification on the issue, rather than a specific technical solution.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_052,2177244,"@AppleSupport 👋, What is the best antivirus for MacBook Pro ?",@284940 Macs are very well protected against malicious software. This link discusses the technologies built into macOS: https://t.co/xYnOFEGYBg you experiencing an issue with your MacBook Pro?,general_device_support,0.8,"Customer is seeking general information on antivirus software for MacBook Pro, indicating a need for guidance on available options or potential alternatives.",general_device_support,AGREE,high,borderline_confidence; intent_divergence
gold_061,1547547,@AppleSupport I don’t want to have to manually lower the volume,"@479138 The buttons control the volume for the ringer, and alerts, except when you’re listening to songs, movies, or other media. https://t.co/GDrqU22YpT",general_device_support,0.8,"Customer is seeking a general solution to a volume control issue, rather than a specific problem with the volume buttons.",hardware_audio_connection_issue,DISAGREE,high,borderline_confidence; intent_divergence
gold_073,2439714,@AppleSupport how much is it for an iPhone 7 glass screen? Struggling to find anything and I’m not wanting to book in the repair. Had this modern phone two weeks and it’s shattered off one little fall.  😔 #disappointed,@699748 We'd be glad to look into this for you.  Please DM us with what country you reside in and we can get that information for you. https://t.co/GDrqU22YpT,general_device_support,0.8,"Customer is seeking general information about iPhone 7 glass screen repair costs and is hesitant to book a repair, indicating a need for troubleshooting or guidance rather than a specific repair issue.",display_touch_issue,DISAGREE,high,borderline_confidence; intent_divergence
gold_074,641914,"@AppleSupport laptop keeps shutting down during startup, tried a bunch of resets but nothing's working PLS HELP.",@272334 We'd be happy to look into this with you.  Let us know in DM the type of laptop you have and the resets you've tried and we'll continue from there. https://t.co/GDrqU22YpT,general_device_support,0.8,"Customer is seeking general troubleshooting assistance and help, rather than a specific software or hardware issue, as they've already tried various resets.",battery_power_issue,DISAGREE,high,borderline_confidence; intent_divergence
gold_082,2417474,"@AppleSupport ever since the new update my i7 has been EXTREMELY laggy, when I type the keyboard lags and opening or switching apps, everything lags. Please fix this in a new patch. 
I’m also seeing the question mark box on twitter.",@266772 We'd be happy to help. Send us a DM with a few details. https://t.co/GDrqU22YpT,general_device_support,0.8,"Customer is experiencing multiple symptoms (laggy performance, keyboard lag, app switching lag) and is requesting a fix in a new patch, but the issue is not specific to a single product or feature.",software_update_problem,DISAGREE,high,borderline_confidence; intent_divergence
gold_086,2593221,@AppleSupport my MacBook Air has the dreaded spinning beach ball. Help please.,@734392 Thanks for reaching out. We'd like to help. Are you able to force quit the app this issue occurred in? This article has the steps to help: https://t.co/W0vgF3uI0f Let us know and we'll continue to assist.,general_device_support,0.8,"The customer is seeking general help and troubleshooting assistance, as indicated by the request for 'Help please.' The conversation context suggests a support inquiry rather than a specific software or hardware issue.",mac_software_issue,DISAGREE,high,borderline_confidence; intent_divergence
