golden_id,tweet_id,customer_message,conversation_context,human_ground_truth,baseline_prediction,baseline_confidence,baseline_agreed,improved_prediction,improved_confidence,improved_reasoning,improved_agreed,prediction_changed
gold_180,2079653,.@115858 battery and velocity of my iPhone 6 really sucks / batería y velocidad de mi iPhone 6 con el iOS 11 realmente apestan #iOS11 #fail,"@615063 We'd be happy to take a look!  To begin, DM us which iOS version you're currently on and we'll go from there: https://t.co/GDrqU22YpT",battery_power_issue,battery_power_issue,0.9,True,battery_power_issue,0.95,"Customer reports battery performance issues (battery life) and velocity (speed) problems with their iPhone 6, specifically mentioning iOS 11, indicating a battery power issue.",True,False
gold_026,2286436,"@115858 for the love of #280characters would you please fix this I️ crap!  It’s annoying AF! Also apps are loading wrong on 6splus, because of X screen size.",@541189 We'll be happy to look into this for you. What iOS version is currently installed on your device?,display_touch_issue,general_device_support,0.8,False,software_update_problem,0.95,"Customer explicitly mentions a recent iOS update causing issues with autocorrect and app loading, indicating a software update problem.",False,True
gold_027,894857,"@AppleSupport since updating to high sierra I'm seeing lots of notifications from Time Machine, which I don't use. How do I turn off?",@328357 Thanks for reaching out to us. We are always happy to help. This article should help you here: https://t.co/colSnLidmp,mac_software_issue,general_device_support,0.85,False,mac_software_issue,0.95,"Customer reports macOS UI behavior (Time Machine notifications) after updating to High Sierra, indicating a Mac software issue.",True,True
gold_040,695319,"Dear @115858 
Please fix all your fucking issues with iOS 11. I’m sick and tired of all these bugs. 🙃","@285834 Reach out to us via DM and let us know what you've been experiencing, as well as the type of iPhone you have, then we can work together to get this resolved. https://t.co/GDrqU22YpT",software_update_problem,general_device_support,0.8,False,software_update_problem,0.95,"Customer explicitly mentions 'iOS 11 bugs' and expresses frustration with the operating system, indicating a software update problem.",True,True
gold_046,1977499,@115858 @AppleSupport the music app is not producing sound. The other apps produce sound. Can play music but no sound comes out. Help. Thx.,"@585588 We know your music is important, and want to get this working for you. DM us with details about when this started happening. https://t.co/GDrqU22YpT",hardware_audio_connection_issue,display_touch_issue,0.8,False,hardware_audio_connection_issue,0.95,"Customer describes a failure of audio sound output when playing music, which is an audio functionality issue.",True,True
gold_048,1001134,@115858 if my screen say poor connection does that mean my wifi is messed up or theres? cause i tired of having this argument erry night 😭💯,@357012 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,general_device_support,general_device_support,0.8,True,general_device_support,0.9,"Customer reports a general issue with their screen displaying a poor connection message, which could be related to WiFi or other network issues, but the exact cause is unclear and requires further investigation.",True,False
gold_052,2177244,"@AppleSupport 👋, What is the best antivirus for MacBook Pro ?",@284940 Macs are very well protected against malicious software. This link discusses the technologies built into macOS: https://t.co/xYnOFEGYBg you experiencing an issue with your MacBook Pro?,general_device_support,general_device_support,0.8,True,general_device_support,0.95,"Customer asks for antivirus recommendation, but the context of the conversation is about MacBook Pro protection against malicious software, suggesting a general device support inquiry.",True,False
gold_061,1547547,@AppleSupport I don’t want to have to manually lower the volume,"@479138 The buttons control the volume for the ringer, and alerts, except when you’re listening to songs, movies, or other media. https://t.co/GDrqU22YpT",hardware_audio_connection_issue,general_device_support,0.8,False,keyboard_typing_issue,0.95,"Customer reports a volume control issue, specifically with the volume buttons, which is a keyboard typing/autocorrect issue.",False,True
gold_073,2439714,@AppleSupport how much is it for an iPhone 7 glass screen? Struggling to find anything and I’m not wanting to book in the repair. Had this modern phone two weeks and it’s shattered off one little fall.  😔 #disappointed,@699748 We'd be glad to look into this for you.  Please DM us with what country you reside in and we can get that information for you. https://t.co/GDrqU22YpT,display_touch_issue,general_device_support,0.8,False,general_device_support,0.9,"Customer is seeking general information about iPhone 7 screen replacement costs and repair options, rather than a specific technical issue or troubleshooting assistance.",False,False
gold_074,641914,"@AppleSupport laptop keeps shutting down during startup, tried a bunch of resets but nothing's working PLS HELP.",@272334 We'd be happy to look into this with you.  Let us know in DM the type of laptop you have and the resets you've tried and we'll continue from there. https://t.co/GDrqU22YpT,battery_power_issue,general_device_support,0.8,False,general_device_support,0.9,"Customer reports a general issue with laptop shutdown during startup, without specifying a specific component or software issue, fitting general device support.",False,False
