conflict_id,record_a_golden_id,record_b_golden_id,record_a_label,record_b_label,priority,similarity_score,conflict_type,human_decision,reviewer,timestamp,notes
conflict_gold_085_vs_gold_106,gold_085,gold_106,general_device_support,hardware_audio_connection_issue,HIGH,0.2551,general_device_support_vs_hardware_audio_connection_issue,RECONSIDER_RECORD_B,sridevi,2026-09-14T12:54:18.185713+00:00,
conflict_gold_025_vs_gold_180,gold_025,gold_180,software_update_problem,battery_power_issue,HIGH,0.2337,software_update_problem_vs_battery_power_issue,VALID_TAXONOMY_BOUNDARY,sridevi,2026-09-14T12:54:37.924766+00:00,
conflict_gold_106_vs_gold_109,gold_106,gold_109,hardware_audio_connection_issue,software_update_problem,HIGH,0.2173,hardware_audio_connection_issue_vs_software_update_problem,VALID_TAXONOMY_BOUNDARY,sridevi,2026-09-14T12:54:55.825946+00:00,
conflict_gold_004_vs_gold_124,gold_004,gold_124,software_update_problem,keyboard_typing_issue,HIGH,0.2073,software_update_problem_vs_keyboard_typing_issue,VALID_TAXONOMY_BOUNDARY,sridevi,2026-09-14T12:55:12.741707+00:00,
conflict_gold_046_vs_gold_102,gold_046,gold_102,hardware_audio_connection_issue,software_update_problem,HIGH,0.1914,hardware_audio_connection_issue_vs_software_update_problem,VALID_TAXONOMY_BOUNDARY,sridevi,2026-09-14T12:55:29.430484+00:00,
conflict_gold_067_vs_gold_128,gold_067,gold_128,unclear_needs_review,general_device_support,HIGH,0.1871,unclear_needs_review_vs_general_device_support,VALID_TAXONOMY_BOUNDARY,sridevi,2026-09-14T12:55:45.737696+00:00,
conflict_gold_014_vs_gold_064,gold_014,gold_064,general_device_support,keyboard_typing_issue,HIGH,0.1811,general_device_support_vs_keyboard_typing_issue,RECONSIDER_RECORD_A,sridevi,2026-09-14T12:56:02.698832+00:00,
conflict_gold_067_vs_gold_181,gold_067,gold_181,unclear_needs_review,keyboard_typing_issue,HIGH,0.1614,unclear_needs_review_vs_keyboard_typing_issue,VALID_TAXONOMY_BOUNDARY,sridevi,2026-09-14T12:56:22.820271+00:00,
conflict_gold_040_vs_gold_128,gold_040,gold_128,software_update_problem,general_device_support,HIGH,0.1545,software_update_problem_vs_general_device_support,RECONSIDER_RECORD_B,sridevi,2026-09-14T12:56:40.888547+00:00,
conflict_gold_040_vs_gold_169,gold_040,gold_169,software_update_problem,keyboard_typing_issue,HIGH,0.1471,software_update_problem_vs_keyboard_typing_issue,VALID_TAXONOMY_BOUNDARY,sridevi,2026-09-14T12:56:59.499352+00:00,
conflict_gold_052_vs_gold_198,gold_052,gold_198,general_device_support,hardware_audio_connection_issue,HIGH,0.1407,general_device_support_vs_hardware_audio_connection_issue,RECONSIDER_RECORD_B,sridevi,2026-09-14T12:57:22.728286+00:00,
