conversation_id,tweet_id,original_text,normalized_text,cluster_id
conv_AppleSupport_2633133,2633133,@AppleSupport why is it when I use Bluetooth on iOS 11.1.1 it randomly just stops playing music. I start it again then it stops. Over and over,<USER> why is it when I use Bluetooth on iOS 11.1.1 it randomly just stops playing music. I start it again then it stops. Over and over,3
conv_AppleSupport_1569655,1569655,@115858 ever since installing iOS 11.0.3 on my iPhone 6 the clock app won’t keep time anymore! It updates randomly sometimes but IDK,<USER> ever since installing iOS 11.0.3 on my iPhone 6 the clock app won’t keep time anymore! It updates randomly sometimes but IDK,3
conv_AppleSupport_2757503,2757503,@AppleSupport I seriously need a new phone!! IT WONT TURN ON HAS NO WATER DAMAGE WTF. How am I suppose to give yall the number thingy when it won't turn on?!,<USER> I seriously need a new phone!! IT WONT TURN ON HAS NO WATER DAMAGE WTF. How am I suppose to give yall the number thingy when it won't turn on?!,2
conv_AppleSupport_2005091,2005091,@AppleSupport i️ can’t type “i️”and it’s annoying because i️ use “i️” in almost all of my sentences pls get it together,<USER> i️ can’t type “i️”and it’s annoying because i️ use “i️” in almost all of my sentences pls get it together,0
conv_AppleSupport_1650220,1650220,Hey @AppleSupport so I updated my phone and I’m still seeing boxes with a question mark. How do I fix?,Hey <USER> so I updated my phone and I’m still seeing boxes with a question mark. How do I fix?,6
conv_AppleSupport_325482,325482,@AppleSupport @115858 on the next update can we please get night mode for iMessage 😭🙏🏾,<USER> <USER> on the next update can we please get night mode for iMessage 😭🙏🏾,5
conv_AppleSupport_1353889,1353889,My visual voicemail hasn’t worked in years of having an iPhone and I’m fed up. My standard voicemail doesn’t work either. @118101 @AppleSupport,My visual voicemail hasn’t worked in years of having an iPhone and I’m fed up. My standard voicemail doesn’t work either. <USER> <USER>,2
conv_AppleSupport_1980846,1980846,@AppleSupport Just FYI ever since I installed the new iOS my battery life has been crappy on the 7+,<USER> Just FYI ever since I installed the new iOS my battery life has been crappy on the 7+,1
conv_AppleSupport_1671828,1671828,@AppleSupport it works on my phone but not my MacBook,<USER> it works on my phone but not my MacBook,5
conv_AppleSupport_1660044,1660044,Wtf is up with this I️ thing?? I’m beyond annoyed. PLEASE find a fix for this @115858 😩,Wtf is up with this I️ thing?? I’m beyond annoyed. PLEASE find a fix for this <USER> 😩,0
conv_AppleSupport_1910943,1910943,@118845 I have had these for less then a year and they are already falling apart.  #pleasehelp https://t.co/tOofntRLnQ,<USER> I have had these for less then a year and they are already falling apart. #pleasehelp <URL>,7
conv_AppleSupport_644986,644986,@115858 can you please fucking fix iMessage. Every time I type something more than 100 words THE APP CLOSES!!! I️ DON’T PAY A THOUSAND DOLLARS FOR YOUR SHITTT FUCKING PRODUCT TO NOT WORK!!!!!,<USER> can you please fucking fix iMessage. Every time I type something more than 100 words THE APP CLOSES!!! I️ DON’T PAY A THOUSAND DOLLARS FOR YOUR SHITTT FUCKING PRODUCT TO NOT WORK!!!!!,2
conv_AppleSupport_1716610,1716610,"When I play music, I can’t access the controls on my lock screen anymore, but thank god I get 70 new emojis with this @115858 update","When I play music, I can’t access the controls on my lock screen anymore, but thank god I get 70 new emojis with this <USER> update",5
